,syn_error_rate,connection_time,destination_same_source_port_rate,destination_different_server_rate,connection_status,connection_count,destination_server_different_host_rate,suspicious_activity,protocol,server_different_host_rate,destination_server_syn_error_rate,destination_host_server_count,destination_same_server_rate,fragment_errors,compromised_count,source_bytes,service_type,destination_syn_error_rate,same_server_rate,reset_error_rate,server_request_count,destination_server_reset_error_rate,server_reset_error_rate,server_syn_error_rate,destination_bytes,guest_login,authentication_status,destination_host_count,destination_reset_error_rate,different_server_rate,class
0,0.0,0,0.01,0.0,SF,2,0.0,2,tcp,0.0,0.0,87,1.0,0,1,54540,http,0.0,1.0,0.0,2,0.01,0.0,0.0,8314,0,1,87,0.01,0.0,anomaly
54,0.0,0,0.06,0.0,SF,4,0.0,2,tcp,0.0,0.0,18,1.0,0,1,54540,http,0.0,1.0,0.0,4,0.06,0.0,0.0,8314,0,1,18,0.06,0.0,anomaly
57,0.0,0,0.0,0.0,SF,3,0.0,2,tcp,0.0,0.0,255,1.0,0,1,54540,http,0.0,1.0,0.33,3,0.02,0.33,0.0,8314,0,1,255,0.02,0.0,anomaly
65,0.0,0,0.4,0.02,SF,101,0.0,0,icmp,0.0,0.0,101,0.4,0,0,1032,ecr_i,0.0,1.0,0.0,101,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
80,0.0,2,0.03,0.0,SF,3,0.0,2,tcp,0.0,0.0,34,1.0,0,1,54540,http,0.0,1.0,0.0,3,0.32,0.0,0.0,8314,0,1,34,0.32,0.0,anomaly
100,0.0,1,0.07,0.0,RSTR,3,0.0,1,tcp,0.0,0.0,15,1.0,0,0,45260,http,0.0,1.0,0.67,3,0.47,0.67,0.0,4380,0,1,15,0.47,0.0,anomaly
106,0.0,0,0.35,0.05,SF,32,0.0,0,udp,0.0,0.0,32,0.32,0,0,1,private,0.0,1.0,0.0,32,0.0,0.0,0.0,0,0,0,100,0.0,0.0,anomaly
114,0.0,0,0.84,0.02,SF,1,0.0,0,udp,0.0,0.0,81,0.84,0,0,215,private,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,97,0.0,0.0,anomaly
142,0.0,0,0.33,0.02,SF,85,0.0,0,icmp,0.0,0.0,85,0.33,0,0,1032,ecr_i,0.0,1.0,0.0,85,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
147,0.0,0,0.02,0.0,SF,4,0.0,2,tcp,0.4,0.02,57,1.0,0,1,54540,http,0.02,1.0,0.0,5,0.02,0.0,0.0,8314,0,1,57,0.02,0.0,anomaly
213,0.0,0,0.67,0.44,SF,4,0.0,0,udp,0.0,0.0,35,0.14,0,0,1,private,0.03,1.0,0.0,4,0.0,0.0,0.0,0,0,0,255,0.3,0.0,anomaly
250,0.0,0,0.04,0.0,SF,5,0.0,2,tcp,0.0,0.0,26,1.0,0,1,54540,http,0.0,1.0,0.0,5,0.08,0.0,0.0,8314,0,1,26,0.08,0.0,anomaly
272,0.0,0,0.01,0.0,SF,4,0.0,2,tcp,0.0,0.01,67,1.0,0,1,54540,http,0.01,1.0,0.0,4,0.01,0.0,0.0,8314,0,1,67,0.01,0.0,anomaly
273,0.0,0,0.0,0.0,SF,4,0.0,2,tcp,0.0,0.0,255,1.0,0,1,54540,http,0.0,1.0,0.5,4,0.04,0.5,0.0,8314,0,1,255,0.04,0.0,anomaly
280,0.0,0,0.01,0.06,SF,5,0.0,1,tcp,0.0,0.0,7,0.05,0,0,9,finger,0.01,1.0,0.0,5,0.0,0.0,0.0,196,0,0,155,0.0,0.0,anomaly
310,0.0,0,0.85,0.01,SF,1,0.0,0,udp,0.0,0.0,139,0.85,0,0,215,private,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,163,0.0,0.0,anomaly
321,0.0,0,0.01,0.0,SF,2,0.0,2,tcp,0.0,0.0,118,1.0,0,1,54540,http,0.0,1.0,0.0,2,0.02,0.0,0.0,8314,0,1,118,0.02,0.0,anomaly
