,syn_error_rate,connection_time,destination_same_source_port_rate,destination_different_server_rate,connection_status,connection_count,destination_server_different_host_rate,suspicious_activity,protocol,server_different_host_rate,destination_server_syn_error_rate,destination_host_server_count,destination_same_server_rate,fragment_errors,compromised_count,source_bytes,service_type,destination_syn_error_rate,same_server_rate,reset_error_rate,server_request_count,destination_server_reset_error_rate,server_reset_error_rate,server_syn_error_rate,destination_bytes,guest_login,authentication_status,destination_host_count,destination_reset_error_rate,different_server_rate,class
0,0.0,0,0.01,0.0,SF,2,0.0,2,tcp,0.0,0.0,87,1.0,0,1,54540,http,0.0,1.0,0.0,2,0.01,0.0,0.0,8314,0,1,87,0.01,0.0,anomaly
5,0.0,0,0.57,0.04,SF,511,0.0,0,icmp,0.0,0.0,145,0.57,0,0,1032,ecr_i,0.0,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
8,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,22,1.0,0,0,8,eco_i,0.0,1.0,0.0,5,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
13,0.0,0,1.0,0.0,SF,1,0.26,0,icmp,1.0,0.0,77,1.0,0,0,8,eco_i,0.0,1.0,0.0,2,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
18,0.0,0,0.96,0.01,SF,511,0.0,0,icmp,0.0,0.0,244,0.96,0,0,1032,ecr_i,0.0,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.01,0.0,anomaly
21,0.0,0,1.0,0.21,SF,5,0.0,0,udp,0.0,0.0,5,0.02,0,0,1,private,0.0,1.0,0.0,5,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
22,0.0,0,0.68,0.02,SF,511,0.0,0,icmp,0.0,0.0,174,0.68,0,0,1032,ecr_i,0.0,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
27,0.0,0,1.0,0.0,SF,129,0.0,0,icmp,0.0,0.0,255,1.0,0,0,520,ecr_i,0.0,1.0,0.0,129,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
31,0.0,0,1.0,0.0,SF,1,0.51,0,icmp,1.0,0.0,83,1.0,0,0,8,eco_i,0.0,1.0,0.0,20,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
38,0.0,0,0.21,0.04,SF,511,0.0,0,icmp,0.0,0.0,53,0.21,0,0,1032,ecr_i,0.21,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.02,0.0,anomaly
39,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,231,1.0,0,0,8,eco_i,0.0,1.0,0.0,16,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
41,0.0,0,0.49,0.54,REJ,1,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.04,1.0,1.0,1,1.0,1.0,0.0,0,0,0,255,0.49,0.0,anomaly
45,0.0,0,1.0,0.0,SF,1,0.25,0,icmp,1.0,0.0,95,1.0,0,0,8,eco_i,0.0,1.0,0.0,17,0.0,0.0,0.0,0,0,0,3,0.0,0.0,anomaly
46,0.0,0,1.0,0.0,SF,1,0.25,0,icmp,1.0,0.0,212,1.0,0,0,8,eco_i,0.0,1.0,0.0,44,0.0,0.0,0.0,0,0,0,4,0.0,0.0,anomaly
54,0.0,0,0.06,0.0,SF,4,0.0,2,tcp,0.0,0.0,18,1.0,0,1,54540,http,0.0,1.0,0.0,4,0.06,0.0,0.0,8314,0,1,18,0.06,0.0,anomaly
57,0.0,0,0.0,0.0,SF,3,0.0,2,tcp,0.0,0.0,255,1.0,0,1,54540,http,0.0,1.0,0.33,3,0.02,0.33,0.0,8314,0,1,255,0.02,0.0,anomaly
60,0.0,0,1.0,0.0,SF,1,1.0,0,icmp,0.0,0.0,51,1.0,0,0,18,eco_i,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
64,0.0,0,1.0,0.0,SF,1,0.25,0,icmp,0.0,0.0,208,1.0,0,0,18,eco_i,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,4,0.0,0.0,anomaly
65,0.0,0,0.4,0.02,SF,101,0.0,0,icmp,0.0,0.0,101,0.4,0,0,1032,ecr_i,0.0,1.0,0.0,101,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
66,0.0,0,0.66,0.67,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,255,0.67,0.0,anomaly
73,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,255,1.0,0,0,8,eco_i,0.0,1.0,0.0,32,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
80,0.0,2,0.03,0.0,SF,3,0.0,2,tcp,0.0,0.0,34,1.0,0,1,54540,http,0.0,1.0,0.0,3,0.32,0.0,0.0,8314,0,1,34,0.32,0.0,anomaly
88,0.0,0,1.0,0.0,SF,1,0.51,0,icmp,1.0,0.0,81,1.0,0,0,8,eco_i,0.0,1.0,0.0,35,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
98,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,129,1.0,0,0,8,eco_i,0.0,1.0,0.0,34,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
99,0.0,41476,0.51,0.26,RSTR,2,0.0,0,tcp,0.0,0.0,2,0.01,0,0,1,private,0.0,1.0,1.0,2,1.0,1.0,0.0,0,0,0,246,0.51,0.0,anomaly
100,0.0,1,0.07,0.0,RSTR,3,0.0,1,tcp,0.0,0.0,15,1.0,0,0,45260,http,0.0,1.0,0.67,3,0.47,0.67,0.0,4380,0,1,15,0.47,0.0,anomaly
102,0.0,1,1.0,1.0,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,255,1.0,0.0,anomaly
105,0.0,0,1.0,0.0,SF,1,0.12,0,tcp,0.0,0.02,48,1.0,0,0,334,ftp_data,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,1,13,0.0,0.0,anomaly
106,0.0,0,0.35,0.05,SF,32,0.0,0,udp,0.0,0.0,32,0.32,0,0,1,private,0.0,1.0,0.0,32,0.0,0.0,0.0,0,0,0,100,0.0,0.0,anomaly
114,0.0,0,0.84,0.02,SF,1,0.0,0,udp,0.0,0.0,81,0.84,0,0,215,private,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,97,0.0,0.0,anomaly
126,0.0,38818,1.0,0.51,RSTR,2,0.0,0,tcp,0.0,0.0,2,0.01,0,0,1,private,0.0,1.0,1.0,2,1.0,1.0,0.0,0,0,0,255,1.0,0.0,anomaly
132,0.0,0,1.0,0.0,SF,1,1.0,0,icmp,0.0,0.0,54,1.0,0,0,18,eco_i,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
133,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,113,1.0,0,0,8,eco_i,0.0,1.0,0.0,8,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
138,0.0,0,1.0,0.0,SF,1,1.0,0,icmp,0.0,0.0,140,1.0,0,0,18,eco_i,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
139,0.0,0,0.09,0.02,SF,20,0.0,0,icmp,0.0,0.0,22,0.09,1,0,1480,ecr_i,0.0,1.0,0.0,20,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
141,0.0,0,1.0,0.0,SF,358,0.0,0,icmp,0.0,0.0,255,1.0,0,0,520,ecr_i,0.0,1.0,0.0,358,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
142,0.0,0,0.33,0.02,SF,85,0.0,0,icmp,0.0,0.0,85,0.33,0,0,1032,ecr_i,0.0,1.0,0.0,85,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
144,0.0,0,1.0,0.0,SF,248,0.0,0,icmp,0.0,0.0,255,1.0,0,0,1032,ecr_i,0.0,1.0,0.0,248,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
145,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,82,1.0,0,0,8,eco_i,0.0,1.0,0.0,25,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
147,0.0,0,0.02,0.0,SF,4,0.0,2,tcp,0.4,0.02,57,1.0,0,1,54540,http,0.02,1.0,0.0,5,0.02,0.0,0.0,8314,0,1,57,0.02,0.0,anomaly
155,0.0,0,0.0,0.02,SF,1,0.0,28,tcp,0.0,0.0,44,0.17,0,0,1210,ftp,0.05,1.0,0.0,1,0.0,0.0,0.0,2447,1,1,255,0.0,0.0,anomaly
161,0.0,6,0.06,1.0,SF,1,0.0,0,tcp,0.0,0.0,1,0.06,0,0,0,time,0.0,1.0,0.0,1,0.0,0.0,0.0,4,0,0,18,0.83,0.0,anomaly
162,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,24,1.0,0,0,8,eco_i,0.0,1.0,0.0,12,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
170,0.0,0,0.0,0.0,RSTR,4,0.0,1,tcp,0.0,0.0,255,1.0,0,0,29200,http,0.0,1.0,0.75,4,0.04,0.75,0.0,2920,0,1,255,0.04,0.0,anomaly
