Categorical,Numerical,Eta
connection_status,reset_error_rate,0.984747919946994
connection_status,server_reset_error_rate,0.9833607420143268
service_type,guest_login,0.9583111314953282
connection_status,syn_error_rate,0.9416142605896887
connection_status,server_syn_error_rate,0.9317897003656757
connection_status,destination_server_reset_error_rate,0.9007112256398071
connection_status,destination_reset_error_rate,0.8953670495213948
service_type,destination_same_server_rate,0.8622809706773014
service_type,destination_host_server_count,0.8463281010841911
connection_status,destination_server_syn_error_rate,0.8459696119669119
service_type,authentication_status,0.8391850407848561
connection_status,destination_syn_error_rate,0.7956997138500373
service_type,suspicious_activity,0.762694201152684
service_type,same_server_rate,0.7423375859138921
protocol,authentication_status,0.73893932815379
service_type,server_request_count,0.718759502100323
class,destination_server_syn_error_rate,0.7166005891883329
service_type,destination_different_server_rate,0.7008754004895184
service_type,destination_same_source_port_rate,0.690746394164137
service_type,destination_server_syn_error_rate,0.6816704294749476
class,server_syn_error_rate,0.6698121364689319
class,destination_syn_error_rate,0.6618810564853084
class,syn_error_rate,0.6554606955359477
service_type,connection_count,0.6468903849027522
class,same_server_rate,0.6359676764026452
service_type,destination_syn_error_rate,0.6293405661997099
service_type,server_syn_error_rate,0.6250524031029266
protocol,server_request_count,0.6178205356605969
service_type,syn_error_rate,0.6072045923537338
connection_status,same_server_rate,0.5823587143492495
service_type,connection_time,0.4859150246053531
service_type,destination_server_different_host_rate,0.46197144194762374
service_type,different_server_rate,0.44370595817774233
protocol,connection_count,0.4419144533047814
connection_status,authentication_status,0.41716979028737866
service_type,destination_host_count,0.41473775900739424
class,connection_count,0.4107910327221021
service_type,server_different_host_rate,0.3771663685634562
class,destination_same_server_rate,0.36024694268431107
connection_status,connection_time,0.3561344035576359
protocol,destination_host_count,0.3446086005134711
class,destination_host_server_count,0.3324262429477061
service_type,source_bytes,0.33088220703597565
connection_status,destination_same_server_rate,0.33034397912514435
connection_status,connection_count,0.31772459214432325
protocol,destination_same_source_port_rate,0.2983569562735651
connection_status,destination_host_server_count,0.2903956990485261
class,authentication_status,0.28627911892533037
service_type,destination_server_reset_error_rate,0.27026460966447136
connection_status,destination_server_different_host_rate,0.2540107860672809
service_type,server_reset_error_rate,0.2495224190641058
protocol,different_server_rate,0.24611511804906677
service_type,reset_error_rate,0.2352644208843591
protocol,destination_different_server_rate,0.23513833321997588
protocol,destination_server_different_host_rate,0.23048719384603167
service_type,compromised_count,0.22028250950089237
connection_status,destination_host_count,0.21639138415295922
service_type,destination_reset_error_rate,0.18851910780265563
protocol,destination_host_server_count,0.18795950088743166
protocol,same_server_rate,0.16990926960286623
protocol,destination_same_server_rate,0.15090703468345804
class,destination_host_count,0.14445051424422062
class,destination_server_reset_error_rate,0.14105873098824873
class,reset_error_rate,0.13916736407207606
class,destination_reset_error_rate,0.1382519807012458
class,server_reset_error_rate,0.13697128311362006
service_type,destination_bytes,0.1338582191233234
service_type,fragment_errors,0.1294177364697031
protocol,connection_time,0.12821308800778228
protocol,destination_server_reset_error_rate,0.12230913882754509
class,destination_different_server_rate,0.11949339251315023
protocol,server_reset_error_rate,0.11733215122635693
protocol,destination_reset_error_rate,0.1152067390164477
protocol,reset_error_rate,0.11515763118255193
connection_status,server_request_count,0.11513409202120263
class,fragment_errors,0.11113580233340081
protocol,destination_syn_error_rate,0.10875709569881041
protocol,server_syn_error_rate,0.10690005276532114
protocol,syn_error_rate,0.1067852213195052
connection_status,destination_different_server_rate,0.09998823231790051
protocol,destination_server_syn_error_rate,0.09773653328435473
connection_status,server_different_host_rate,0.09280805382309298
class,different_server_rate,0.0897320070615487
protocol,server_different_host_rate,0.08758973363959045
connection_status,destination_same_source_port_rate,0.08751184503416433
connection_status,source_bytes,0.058851379280159585
protocol,guest_login,0.05614250164038236
connection_status,different_server_rate,0.05554488278880355
class,server_different_host_rate,0.048721074633441004
protocol,suspicious_activity,0.048060421588474164
protocol,fragment_errors,0.04722341581732359
connection_status,destination_bytes,0.036658442473207854
connection_status,guest_login,0.03611565006188459
connection_status,compromised_count,0.03581425255499157
protocol,source_bytes,0.03354194740689444
class,destination_server_different_host_rate,0.03259877946982086
protocol,destination_bytes,0.0307205171302675
class,destination_same_source_port_rate,0.030708646837101103
connection_status,suspicious_activity,0.028167934976472925
class,connection_time,0.022855007725668643
class,guest_login,0.01671268743175316
protocol,compromised_count,0.014255184781389008
class,destination_bytes,0.012228450857807228
class,server_request_count,0.010949423447972935
connection_status,fragment_errors,0.007275577789772719
class,compromised_count,0.005406289034860064
class,suspicious_activity,0.005335670341757447
class,source_bytes,0.001484014457471461
